Source,Target,Weight
30,14766,42
34,14766,16
31,14766,6
488,14784,59
31,14824,142
30,14824,32
34,14824,26
35,14824,17
58,14824,2
175,14824,1
3,14824,1
31,14849,142
30,14849,32
34,14849,26
35,14849,17
58,14849,2
175,14849,1
3,14849,1
470,14854,2839
471,14854,1735
3,14854,425
482,14854,391
488,14854,343
2387,14854,52
480,14854,41
189,14854,24
586,14854,3
663,14854,2
31,14934,144
30,14934,49
34,14934,26
35,14934,17
58,14934,2
175,14934,1
3,14934,1
31,14977,144
30,14977,49
34,14977,26
35,14977,17
58,14977,2
175,14977,1
3,14977,1
31,15002,144
30,15002,49
34,15002,26
35,15002,17
58,15002,2
175,15002,1
3,15002,1
175,15009,62
175,15016,16
30,15016,2
25,15046,214
34,15058,27
175,15058,8
35,15058,8
31,15058,5
153,15058,2
58,15058,2
30,15058,1
3,15064,13
142,15064,5
153,15064,1
586,15076,28
189,15076,6
83,15076,3
4,15091,33
2387,15091,3
117,15099,3
3,15099,2
34,15120,9
31,15120,5
586,15136,9
83,15136,2
470,15163,2840
471,15163,1739
3,15163,425
482,15163,393
488,15163,343
2387,15163,52
480,15163,42
189,15163,24
586,15163,3
663,15163,2
2387,15169,138
470,15277,2854
471,15277,1742
3,15277,425
482,15277,393
488,15277,343
2387,15277,52
480,15277,43
189,15277,25
586,15277,3
663,15277,2
470,15290,2854
471,15290,1742
3,15290,425
482,15290,393
488,15290,343
2387,15290,52
480,15290,43
189,15290,25
586,15290,3
663,15290,2
482,15311,1
470,15313,2854
471,15313,1742
3,15313,425
482,15313,393
488,15313,343
2387,15313,52
480,15313,44
189,15313,25
586,15313,3
663,15313,2
470,15341,2977
471,15341,2081
482,15341,480
3,15341,457
488,15341,346
189,15341,228
480,15341,160
2387,15341,53
142,15341,34
117,15341,14
663,15341,10
586,15341,6
30,15352,10
470,15375,2855
471,15375,1742
3,15375,425
482,15375,394
488,15375,343
2387,15375,52
480,15375,44
189,15375,25
663,15375,3
586,15375,3
34,15423,21
30,15423,18
175,15423,11
31,15423,8
35,15423,3
83,15514,6
153,15514,3
117,15528,249
153,15528,1
4,15538,17
3,15538,3
25,15538,1
83,15538,1
470,15554,2855
471,15554,1742
3,15554,425
482,15554,395
488,15554,343
2387,15554,52
480,15554,46
189,15554,28
663,15554,4
586,15554,3
470,15568,2951
471,15568,2013
482,15568,472
3,15568,457
488,15568,346
189,15568,221
480,15568,146
2387,15568,52
142,15568,34
117,15568,14
663,15568,10
31,15582,64
586,15582,13
189,15589,1
470,15609,2855
471,15609,1744
3,15609,425
482,15609,395
488,15609,343
2387,15609,52
480,15609,46
189,15609,28
663,15609,4
586,15609,3
470,15641,2855
471,15641,1744
3,15641,425
482,15641,395
488,15641,343
2387,15641,52
480,15641,46
189,15641,28
663,15641,4
586,15641,3
663,15643,1
470,15685,2855
471,15685,1744
3,15685,425
482,15685,395
488,15685,343
2387,15685,52
480,15685,51
189,15685,28
663,15685,7
586,15685,3
153,15691,1
470,15791,2895
471,15791,1904
3,15791,450
482,15791,422
488,15791,343
189,15791,122
480,15791,95
2387,15791,52
663,15791,10
117,15791,6
586,15791,3
470,15830,2863
471,15830,1744
3,15830,425
482,15830,395
488,15830,343
2387,15830,52
480,15830,49
189,15830,28
663,15830,5
586,15830,3
142,15947,437
3,16009,13
142,16009,5
153,16009,1
470,16028,2863
471,16028,1747
3,16028,425
482,16028,395
488,16028,343
2387,16028,52
480,16028,50
189,16028,37
663,16028,5
586,16028,3
470,16046,2863
471,16046,1747
3,16046,425
482,16046,395
488,16046,343
2387,16046,52
480,16046,50
189,16046,37
663,16046,5
586,16046,3
470,16088,2863
471,16088,1747
3,16088,425
482,16088,395
488,16088,343
480,16088,57
2387,16088,52
189,16088,37
663,16088,8
586,16088,3
83,16185,5
471,16195,11
175,16195,4
189,16195,1
31,16236,46
175,16236,31
34,16236,23
30,16236,20
153,16236,4
35,16236,3
30,16237,171
31,16237,161
34,16237,27
35,16237,17
58,16237,2
31,16248,34
586,16248,13
153,16248,3
189,16248,3
31,16308,46
175,16308,31
34,16308,23
30,16308,20
153,16308,4
35,16308,3
470,16310,2863
471,16310,1748
3,16310,425
482,16310,396
488,16310,343
480,16310,53
2387,16310,52
189,16310,37
663,16310,5
586,16310,3
35,16348,36
3,16361,2
470,16362,2863
471,16362,1752
3,16362,425
482,16362,396
488,16362,343
480,16362,63
2387,16362,52
189,16362,37
663,16362,8
586,16362,3
117,16385,3
34,16398,71
31,16398,12
470,16412,2863
471,16412,1752
3,16412,425
482,16412,396
488,16412,343
480,16412,56
2387,16412,52
189,16412,37
663,16412,5
586,16412,3
34,16422,27
175,16422,17
35,16422,8
30,16422,7
31,16422,5
153,16422,2
58,16422,2
31,16425,46
175,16425,32
30,16425,27
34,16425,23
153,16425,4
35,16425,3
153,16429,15
25,16500,1
25,16503,296
4,16572,17
3,16572,3
25,16572,1
83,16572,1
34,16591,27
175,16591,17
30,16591,8
35,16591,8
31,16591,8
153,16591,2
58,16591,2
30,16698,171
31,16698,164
34,16698,27
35,16698,17
58,16698,2
153,16707,42
31,16721,47
175,16721,34
30,16721,27
34,16721,23
153,16721,4
35,16721,3
30,16761,171
31,16761,167
34,16761,28
35,16761,17
58,16761,2
34,16762,27
175,16762,18
30,16762,8
35,16762,8
31,16762,8
153,16762,2
58,16762,2
30,16782,171
31,16782,167
34,16782,28
35,16782,17
58,16782,2
58,16799,195
470,16813,2863
471,16813,1754
3,16813,425
482,16813,399
488,16813,343
480,16813,57
2387,16813,52
189,16813,37
663,16813,5
117,16813,4
586,16813,3
3,16826,18
142,16826,5
153,16826,1
470,16844,2863
471,16844,1754
3,16844,425
482,16844,399
488,16844,343
480,16844,57
2387,16844,52
189,16844,37
663,16844,5
117,16844,5
586,16844,3
3,16891,78
482,16891,1
470,16894,2863
471,16894,1754
3,16894,425
482,16894,399
488,16894,343
480,16894,59
2387,16894,52
189,16894,37
663,16894,5
117,16894,5
586,16894,3
153,16899,1
488,16913,12
189,16913,7
470,16913,2
663,16913,1
470,16934,3198
471,16934,3131
189,16934,1010
480,16934,835
482,16934,526
3,16934,461
31,16934,359
488,16934,346
2387,16934,53
30,16941,14
189,16941,3
663,16941,1
3,16981,1
153,16994,1
142,17019,2
83,17022,79
31,17022,77
189,17038,116
471,17038,20
153,17047,1
142,17047,1
142,17049,2
34,17053,71
31,17053,12
25,17083,18
58,17101,5
153,17117,1
142,17117,1
470,17155,2869
471,17155,1761
3,17155,434
482,17155,401
488,17155,343
480,17155,59
2387,17155,52
189,17155,39
117,17155,6
663,17155,5
586,17155,3
34,17196,71
31,17196,12
34,17204,71
31,17204,12
153,17205,1
142,17205,1
58,17209,1
470,17215,3042
471,17215,2266
482,17215,496
3,17215,458
189,17215,394
488,17215,346
480,17215,239
2387,17215,53
142,17215,34
117,17215,14
663,17215,10
470,17218,2869
471,17218,1761
3,17218,434
482,17218,401
488,17218,343
480,17218,60
2387,17218,52
189,17218,41
663,17218,6
117,17218,6
586,17218,3
153,17231,8
142,17231,1
58,17255,6
153,17303,1
25,17303,1
142,17303,1
35,17400,36
586,17443,5
470,17456,2890
471,17456,1833
3,17456,436
482,17456,403
488,17456,343
480,17456,71
189,17456,62
2387,17456,52
663,17456,6
117,17456,6
586,17456,3
3,17489,11
3,17538,18
142,17538,5
153,17538,1
31,17556,49
175,17556,37
30,17556,27
34,17556,23
153,17556,4
35,17556,3
142,17625,2
470,17626,2880
471,17626,1792
3,17626,434
482,17626,403
488,17626,343
480,17626,63
2387,17626,52
189,17626,48
663,17626,6
117,17626,6
586,17626,3
153,17628,1
142,17628,1
3,17639,20
142,17639,5
153,17639,1
189,17716,53
471,17716,4
470,17745,2880
471,17745,1804
3,17745,436
482,17745,403
488,17745,343
480,17745,63
189,17745,55
2387,17745,52
663,17745,6
117,17745,6
586,17745,3
4,17774,2
3,17774,1
58,17787,1
480,17803,7
3,17829,14
142,17829,5
153,17829,1
663,17849,1
3,17864,14
142,17864,5
153,17864,1
470,17866,2880
471,17866,1812
3,17866,436
482,17866,403
488,17866,343
480,17866,69
189,17866,56
2387,17866,52
663,17866,6
117,17866,6
586,17866,3
470,17883,2880
471,17883,1813
3,17883,436
482,17883,403
488,17883,343
480,17883,69
189,17883,56
2387,17883,52
663,17883,6
117,17883,6
586,17883,3
117,17884,3
3,17884,2
4,17885,2
35,17925,36
4,17942,3
189,17965,7
471,18008,12
58,18025,6
30,18025,1
470,18039,2887
471,18039,1816
3,18039,436
482,18039,403
488,18039,343
480,18039,69
189,18039,59
2387,18039,52
663,18039,6
117,18039,6
586,18039,3
470,18188,3235
471,18188,3133
189,18188,1051
480,18188,845
482,18188,537
3,18188,461
31,18188,370
488,18188,352
470,18210,2888
471,18210,1830
3,18210,436
482,18210,403
488,18210,343
480,18210,71
189,18210,60
2387,18210,52
663,18210,6
117,18210,6
586,18210,3
142,18262,1
30,18306,14
189,18306,3
663,18306,1
3,18339,14
142,18339,5
153,18339,1
470,18373,3302
471,18373,3134
189,18373,1074
480,18373,845
482,18373,541
3,18373,461
31,18373,385
488,18373,352
83,18382,78
31,18382,77
3,18424,14
142,18424,5
153,18424,1
58,18453,6
3,18461,1
30,18469,224
31,18469,224
34,18469,29
35,18469,20
58,18469,2
586,18530,6
470,18546,2891
471,18546,1857
3,18546,441
482,18546,403
488,18546,343
480,18546,72
189,18546,62
2387,18546,52
663,18546,6
117,18546,6
